Date,Ticker,Open,High,Low,Close,Volume
2024-05-27,HydroPower Index,2472.58,2487.24,2458.07,2476.15,720205392.4
2024-05-27,Nepse Index,2111.67,2124.31,2097.07,2113.27,3893764144
2024-05-29,Mutual Fund,18.89,18.93,18.82,18.89,6697682.59
2024-05-29,Trading Index,2739.52,2802.21,2720.24,2758.46,24009409.1
2024-05-29,Non Life Insurance,10794.03,10948.24,10671.35,10689.4,128676286.3
2024-05-29,Hotels And Tourism,5453.21,5644.07,5453.21,5480.42,184277475
2024-05-29,Life Insurance,10436.51,10504.16,10171.87,10207.71,206160506.9
2024-05-29,Development Bank Index,4184.97,4185.46,4079.12,4094.91,236519723.5
2024-05-29,Others Index,1687.19,1727.11,1647.3,1649.67,243675621.5
2024-05-29,Manufacturing And Processing,6593.84,6713.94,6593.84,6666.37,450857620.2
2024-05-29,Investment,77.8,78.63,76.74,76.94,477076859.9
2024-05-29,Finance Index,2149.77,2169.27,2104.02,2145.52,483783327.9
2024-05-29,Microfinance Index,4536.67,4551.42,4420.36,4445.3,605804343.9
2024-05-29,HydroPower Index,2506.15,2522.31,2464.83,2473.32,1034125885
2024-05-29,Nepse Index,2133.72,2152.85,2086.73,2089.42,4575063274
2024-05-29,Banking SubIndex,1187.19,1199.44,1138.51,1138.92,444064405.5
2024-05-30,Hotels And Tourism,5529.77,5555.23,5334.23,5341.28,228611815.8
2024-05-30,Mutual Fund,18.89,18.9,18.73,18.83,5533687.45
2024-05-30,Trading Index,2758.46,2796.48,2749.23,2749.23,9689934.4
2024-05-30,Others Index,1642.16,1662.32,1632.23,1636.21,123709153.9
2024-05-30,Life Insurance,10197.32,10225.4,10080.02,10092.13,125878645.3
2024-05-30,Non Life Insurance,10689.4,10741.79,10552.23,10574.47,135723576.4
2024-05-30,Development Bank Index,4107.26,4107.26,4046.4,4054.8,249773301.2
2024-05-30,Manufacturing And Processing,6689.81,6823.32,6689.81,6748.95,259095840.6
2024-05-30,Banking SubIndex,1142.52,1146.18,1115.72,1119.25,302921045.7
2024-05-30,Investment,76.63,77.18,75.9,76.04,314730886.5
2024-05-30,Finance Index,2139.93,2161.05,2114.17,2148.83,585279641
2024-05-30,Microfinance Index,4448.41,4448.41,4354.07,4357.91,595265107.8
2024-05-30,HydroPower Index,2474.77,2506.3,2460.05,2485.48,1254824057
2024-05-30,Nepse Index,2091.02,2099.87,2065.68,2069.53,4217494196
2024-06-02,Mutual Fund,18.83,18.84,18.7,18.82,2393795.55
2024-06-02,Trading Index,2749.23,2935.19,2748.68,2929.59,32862773.9
2024-06-02,Non Life Insurance,10574.47,10666.32,10560.96,10645.97,95208206.2
2024-06-02,Development Bank Index,4081.04,4086.83,4055.3,4063.93,157244428.3
2024-06-02,Others Index,1644.01,1654.67,1634.13,1652.02,169297831
2024-06-02,Life Insurance,10086.84,10207.87,10072.13,10170.74,170227051.5
2024-06-02,Hotels And Tourism,5319.94,5412.33,5312.31,5365.89,177999607.2
2024-06-02,Manufacturing And Processing,6772.11,6816.42,6578.04,6586.55,184063559.7
2024-06-02,Banking SubIndex,1120.99,1132.49,1117.15,1131.72,259026501.3
2024-06-02,Investment,76.24,76.58,75.56,75.87,298898111.1
2024-06-02,Microfinance Index,4354.94,4384.08,4347.44,4380.72,497770259.9
2024-06-02,Finance Index,2142.61,2212.11,2127.58,2195.63,900843426.4
2024-06-02,HydroPower Index,2491.8,2522,2485.11,2517.01,1327827087
2024-06-02,Nepse Index,2072.97,2085.87,2068.19,2083.04,4311015630
2024-06-03,Mutual Fund,18.82,18.83,18.71,18.77,4038318.2
2024-06-03,Trading Index,2929.59,2974.22,2878.88,2928.54,25440887.1
2024-06-03,Hotels And Tourism,5364.26,5411.61,5307.22,5320.48,97836799.6
2024-06-03,Non Life Insurance,10663.01,10730.21,10570.79,10574.9,104044110.6
2024-06-03,Life Insurance,10170.74,10222.45,10130.86,10149.97,120702880.9
2024-06-03,Development Bank Index,4079.08,4100.72,4046.9,4051.44,165752534.6
2024-06-03,Banking SubIndex,1136.97,1146.1,1120.79,1123.33,179954303.4
2024-06-03,Others Index,1659.31,1667.25,1643.42,1645.75,188522763.9
2024-06-03,Investment,76.03,76.27,75.61,75.74,326547908.4
2024-06-03,Microfinance Index,4376.95,4524.71,4365.84,4487.52,676369775.7
2024-06-03,Finance Index,2199.92,2239.13,2181.3,2195.57,776039906.5
2024-06-03,HydroPower Index,2519.3,2533.55,2502.41,2513.94,1131225161
2024-06-03,Nepse Index,2087.8,2095.67,2073.29,2079.07,4004070244
2024-06-03,Manufacturing And Processing,6598.67,6618.51,6499.44,6516.73,186181525.6
2024-06-04,Development Bank Index,4066.25,4097.98,4055.47,4074.63,180091188.7
2024-06-04,Mutual Fund,18.77,18.77,18.62,18.75,3438784.81
2024-06-04,Trading Index,2928.54,3015.5,2896.09,3007.88,29872721.5
2024-06-04,Others Index,1669.35,1671.82,1640.92,1641.82,98575760.2
2024-06-04,Hotels And Tourism,5332.33,5393.33,5313.31,5325.82,122011104.2
2024-06-04,Life Insurance,10149.97,10232.53,10107.99,10198.34,125160233.9
2024-06-04,Banking SubIndex,1129.32,1134.56,1121.3,1124.65,161661879.2
2024-06-04,Investment,76.41,76.55,75.72,76.27,428049864.7
2024-06-04,Non Life Insurance,10581.94,10714.83,10580.26,10634.54,286488958.4
2024-06-04,Finance Index,2194.31,2208.85,2182.29,2201.99,509013779.5
2024-06-04,HydroPower Index,2518.19,2519.27,2491.15,2498.46,893665503.8
2024-06-04,Microfinance Index,4491.07,4592.86,4489.62,4553.95,1013031684
2024-06-04,Nepse Index,2086.91,2092.28,2078.19,2085.3,4084715877
2024-06-04,Manufacturing And Processing,6494.12,6636.39,6489.59,6569.49,179881494.5
2024-06-05,Non Life Insurance,10646.97,10678.81,10569.51,10608.32,107972932
2024-06-05,Life Insurance,10184.82,10232.62,10123.4,10142.86,97641264.8
2024-06-05,Others Index,1650.37,1656.62,1626.54,1630.55,135495616.1
2024-06-05,Trading Index,3007.88,3027.72,2931.64,2976.63,36925259.9
2024-06-05,Mutual Fund,19.75,19.76,19.56,19.68,3023143.15
2024-06-05,Hotels And Tourism,5325.82,5360.36,5280.88,5295.93,95600552.5
2024-06-05,Development Bank Index,4067.87,4082.33,4054.14,4062.02,155930195.4
2024-06-05,Banking SubIndex,1127.69,1130.76,1113.75,1117.19,177399050.6
2024-06-05,Manufacturing And Processing,6578.25,6655.46,6572.8,6596.77,198726820.6
2024-06-05,Investment,76.22,76.63,75.86,76.28,475226541.5
2024-06-05,Finance Index,2195.31,2232.6,2188.15,2204.09,486970213.4
2024-06-05,HydroPower Index,2501.02,2502.22,2465.72,2482.3,976883469.1
2024-06-05,Microfinance Index,4552.01,4625.28,4547.87,4614.03,1018430345
2024-06-05,Nepse Index,2087.73,2091.47,2072.47,2079.71,3992976493
2024-06-06,Mutual Fund,19.68,19.68,19.53,19.62,5780293.98
2024-06-06,Trading Index,2976.63,3035.44,2947.65,3034.98,36695704.7
2024-06-06,Hotels And Tourism,5295.93,5357.98,5280.08,5301.91,72439159
2024-06-06,Non Life Insurance,10608.32,10663.04,10543.21,10568.12,88596926.7
2024-06-06,Life Insurance,10142.86,10186.42,10087.39,10117.92,110774355.6
2024-06-06,Development Bank Index,4061.78,4068.62,4031.94,4037.55,146188467.3
2024-06-06,Others Index,1630.55,1653.6,1626,1627.81,151331391.2
2024-06-06,Banking SubIndex,1119,1121.9,1107.7,1109.45,196168665.8
2024-06-06,Manufacturing And Processing,6583.98,6667.03,6553.98,6554.3,209188875
2024-06-06,Finance Index,2204.83,2204.83,2149.09,2158.22,455372501.3
2024-06-06,Investment,76.38,76.96,76.14,76.65,494490480
2024-06-06,HydroPower Index,2485.34,2508.62,2478.72,2502.9,1114584280
2024-06-06,Microfinance Index,4606.66,4703.72,4606.66,4656.35,1277107103
2024-06-06,Nepse Index,2080.55,2088.61,2073.58,2077.78,4388278720
2024-06-09,Mutual Fund,19.62,19.65,19.51,19.56,4321949.42
2024-06-09,Trading Index,3034.98,3087.88,2980.98,2987.98,20278818.8
2024-06-09,Non Life Insurance,10568.12,10619.68,10503.94,10519.65,113643528.1
2024-06-09,Life Insurance,10171.7,10171.7,10010.07,10048.25,133260662.4
2024-06-09,Manufacturing And Processing,6582.52,6641.7,6540.57,6588.33,185122305.7
2024-06-09,Banking SubIndex,1128.41,1128.41,1098.05,1098.71,192166928.8
2024-06-09,Development Bank Index,4036.84,4051.81,4012.3,4013.4,193238846.4
2024-06-09,Hotels And Tourism,5301.91,5506.28,5300.04,5457,274022159.5
2024-06-09,Finance Index,2151.8,2165.03,2120.13,2138.55,439088551.7
2024-06-09,Investment,77.34,77.34,76.78,76.98,716791166.9
2024-06-09,Microfinance Index,4666.42,4686.28,4594.71,4605.21,1153838960
2024-06-09,HydroPower Index,2507.26,2527.07,2499.96,2527.07,1485420963
2024-06-09,Nepse Index,2093.71,2093.71,2069.01,2073.19,5189079522
2024-06-09,Others Index,1651.49,1651.49,1624.16,1627.96,247558972.2
2024-06-10,Banking SubIndex,1119.28,1119.28,1092.3,1098.45,187191983.5
2024-06-10,Mutual Fund,18.83,18.83,18.7,18.83,3418701.14
2024-06-10,Trading Index,2987.98,3007.69,2926.8,2926.87,28106270.7
2024-06-10,Hotels And Tourism,5470.16,5482.68,5405.57,5405.84,128011127.3
2024-06-10,Life Insurance,10101.49,10112.67,10003.97,10023.45,136136811.8
2024-06-10,Development Bank Index,4013.4,4048.39,4011.49,4028.07,153526700.6
2024-06-10,Non Life Insurance,10519.65,10656.69,10503.74,10654.53,158861300.8
2024-06-10,Finance Index,2139.57,2180.98,2125.59,2164.48,484916582.1
2024-06-10,Others Index,1644.18,1644.43,1623.78,1627.37,205654365.6
2024-06-10,Investment,77.29,77.55,76.67,77.1,700867307.5
2024-06-10,Microfinance Index,4602.08,4636.16,4589.59,4633.78,831107047.1
2024-06-10,HydroPower Index,2537.29,2584.09,2521.52,2577.82,2280790845
2024-06-10,Nepse Index,2088.14,2088.77,2072.33,2082.09,5490609782
2024-06-10,Manufacturing And Processing,6592.65,6663.07,6571.93,6596.24,184172731.5
2024-06-11,Manufacturing And Processing,6619.73,6651.9,6602.89,6622.62,181769191.3
2024-06-11,Life Insurance,10043.2,10264.57,10039.78,10264.57,173392570.8
2024-06-11,Others Index,1652.97,1652.97,1624.61,1636.01,183154150.9
2024-06-11,Trading Index,2926.87,3003.28,2882.8,2989.02,21774176.9
2024-06-11,Mutual Fund,18.83,18.92,18.76,18.92,2934421.56
2024-06-11,Hotels And Tourism,5405.84,5474,5396.17,5438.12,85013540.8
2024-06-11,Development Bank Index,4040.45,4091.01,4033.82,4085.37,203290541.5
2024-06-11,Banking SubIndex,1118.82,1120.12,1094.96,1117.5,243469169.2
2024-06-11,Non Life Insurance,10654.53,10938.99,10636.89,10888.11,275746824.3
2024-06-11,Finance Index,2160.23,2214.58,2160.23,2211.28,544438182.2
2024-06-11,Investment,77.56,77.94,77.15,77.94,565944920.4
2024-06-11,Microfinance Index,4647.09,4688.44,4626.67,4682.75,784845149.2
2024-06-11,HydroPower Index,2594.53,2644.53,2592.19,2644.53,2272497067
2024-06-11,Nepse Index,2099.77,2115.24,2087.16,2115.24,5555361739
2024-06-12,Mutual Fund,18.92,18.98,18.83,18.98,2222765.33
2024-06-12,Trading Index,2989.02,2995.94,2977.63,2978.18,23558133.5
2024-06-12,Hotels And Tourism,5439.97,5522.63,5424.99,5428.19,146712662.9
2024-06-12,Development Bank Index,4086.73,4132.67,4081.14,4089.94,162978740.4
